X,CH1,CH2,CH3,CH4,Start,Increment
0,1.36e+00,-4.00e-01,-7.80e-02,-1.28e+00,0,2.000000e-06
1,1.44e+00,-3.60e-01,-8.20e-02,-1.36e+00,
2,1.36e+00,-4.00e-01,-7.80e-02,-1.28e+00,
3,1.52e+00,-4.40e-01,-8.20e-02,-1.36e+00,
4,1.52e+00,-4.40e-01,-8.20e-02,-1.28e+00,
5,1.60e+00,-4.80e-01,-8.00e-02,-1.28e+00,
6,1.52e+00,-4.40e-01,-8.20e-02,-1.28e+00,
7,1.60e+00,-5.20e-01,-8.00e-02,-1.28e+00,
8,1.52e+00,-4.40e-01,-8.00e-02,-1.28e+00,
9,1.68e+00,-5.20e-01,-7.80e-02,-1.20e+00,
10,1.68e+00,-5.20e-01,-7.80e-02,-1.20e+00,
11,1.68e+00,-4.80e-01,-7.60e-02,-1.20e+00,
12,1.60e+00,-4.80e-01,-7.80e-02,-1.20e+00,
13,1.84e+00,-5.60e-01,-7.40e-02,-1.12e+00,
14,1.76e+00,-5.60e-01,-7.40e-02,-1.20e+00,
15,1.84e+00,-6.00e-01,-7.00e-02,-1.12e+00,
16,1.76e+00,-6.00e-01,-7.20e-02,-1.20e+00,
17,1.84e+00,-5.60e-01,-6.60e-02,-1.12e+00,
18,1.92e+00,-5.60e-01,-6.80e-02,-1.12e+00,
19,1.84e+00,-6.40e-01,-6.40e-02,-1.20e+00,
20,1.92e+00,-6.00e-01,-6.40e-02,-1.12e+00,
21,1.84e+00,-6.40e-01,-6.00e-02,-1.04e+00,
22,1.84e+00,-6.00e-01,-6.20e-02,-1.04e+00,
23,2.00e+00,-6.80e-01,-5.80e-02,-1.04e+00,
24,2.00e+00,-6.80e-01,-5.60e-02,-1.04e+00,
25,2.08e+00,-7.20e-01,-5.20e-02,-1.12e+00,
26,2.00e+00,-6.80e-01,-5.00e-02,-1.04e+00,
27,2.08e+00,-7.20e-01,-4.80e-02,-1.04e+00,
28,2.00e+00,-6.80e-01,-4.80e-02,-1.04e+00,
29,2.16e+00,-7.60e-01,-4.20e-02,-1.12e+00,
30,2.00e+00,-6.80e-01,-4.20e-02,-1.04e+00,
31,2.16e+00,-7.60e-01,-3.60e-02,-8.80e-01,
32,2.16e+00,-7.60e-01,-3.80e-02,-9.60e-01,
33,2.16e+00,-7.60e-01,-3.00e-02,-8.80e-01,
34,2.16e+00,-7.60e-01,-3.20e-02,-9.60e-01,
35,2.08e+00,-7.60e-01,-2.40e-02,-8.80e-01,
36,2.16e+00,-7.20e-01,-2.40e-02,-8.80e-01,
37,2.08e+00,-8.00e-01,-1.40e-02,-9.60e-01,
38,2.16e+00,-8.00e-01,-1.60e-02,-9.60e-01,
39,2.32e+00,-8.40e-01,-8.00e-03,-8.80e-01,
40,2.24e+00,-8.40e-01,-4.00e-03,-9.60e-01,
41,2.24e+00,-8.00e-01,2.00e-03,-8.00e-01,
42,2.24e+00,-8.00e-01,4.00e-03,-8.00e-01,
43,2.24e+00,-8.80e-01,1.00e-02,-8.80e-01,
44,2.24e+00,-8.40e-01,1.00e-02,-8.80e-01,
45,2.32e+00,-8.80e-01,1.40e-02,-8.00e-01,
46,2.24e+00,-8.80e-01,1.00e-02,-8.00e-01,
47,2.40e+00,-8.80e-01,1.40e-02,-8.00e-01,
48,2.40e+00,-9.20e-01,1.20e-02,-8.00e-01,
49,2.24e+00,-8.40e-01,1.40e-02,-8.00e-01,
50,2.40e+00,-8.80e-01,1.00e-02,-8.00e-01,
51,2.40e+00,-9.60e-01,1.40e-02,-8.80e-01,
52,2.40e+00,-8.80e-01,1.20e-02,-8.00e-01,
53,2.32e+00,-9.60e-01,1.60e-02,-8.00e-01,
54,2.32e+00,-9.60e-01,1.80e-02,-8.00e-01,
55,2.40e+00,-9.20e-01,2.40e-02,-8.00e-01,
56,2.40e+00,-9.20e-01,2.20e-02,-8.00e-01,
57,2.32e+00,-9.60e-01,2.60e-02,-8.00e-01,
58,2.40e+00,-9.20e-01,2.80e-02,-8.00e-01,
59,2.56e+00,-1.00e+00,2.60e-02,-6.40e-01,
60,2.48e+00,-1.00e+00,3.00e-02,-6.40e-01,
61,2.56e+00,-1.00e+00,3.20e-02,-7.20e-01,
62,2.48e+00,-1.00e+00,3.20e-02,-7.20e-01,
63,2.56e+00,-1.00e+00,2.80e-02,-6.40e-01,
64,2.48e+00,-1.00e+00,2.80e-02,-6.40e-01,
65,2.56e+00,-1.00e+00,3.00e-02,-7.20e-01,
66,2.48e+00,-1.00e+00,2.60e-02,-7.20e-01,
67,2.56e+00,-1.00e+00,2.80e-02,-6.40e-01,
68,2.48e+00,-1.00e+00,2.60e-02,-7.20e-01,
69,2.56e+00,-1.00e+00,2.80e-02,-6.40e-01,
70,2.56e+00,-1.00e+00,2.60e-02,-6.40e-01,
71,2.48e+00,-1.00e+00,3.40e-02,-7.20e-01,
72,2.48e+00,-1.00e+00,3.20e-02,-7.20e-01,
73,2.56e+00,-1.08e+00,3.40e-02,-6.40e-01,
74,2.48e+00,-1.08e+00,3.40e-02,-6.40e-01,
75,2.56e+00,-1.00e+00,3.80e-02,-7.20e-01,
76,2.48e+00,-1.08e+00,4.00e-02,-7.20e-01,
